procesos,longitud,estados,tiempo_tot,tiempo_comm,tiempo_ejec
2,16,24,0.000408071,3.1651e-05,0.00037642
4,16,24,0.000539061,4.7283e-05,0.000491778
8,16,24,0.00101206,0.000111434,0.00090063
12,16,24,0.0186315,5.8362e-05,0.0185732
2,128,140,0.00187003,4.5748e-05,0.00182428
4,128,140,0.00259209,8.353e-05,0.00250856
8,128,140,0.00341815,0.000180839,0.00323731
12,128,140,0.01172,0.00776757,0.00395238
2,1090,1030,0.0136293,0.000638128,0.0129912
4,1090,1030,0.0164864,0.000779892,0.0157066
8,1090,1030,0.0246335,0.0023495,0.022284
12,1090,1030,0.0382368,0.0130754,0.0251615
2,10822,10200,0.150686,0.00204718,0.148639
4,10822,10200,0.188177,0.00411606,0.184061
8,10822,10200,0.234502,0.00940475,0.225097
12,10822,10200,0.32557,0.0667981,0.258772
2,115699,120000,2.15094,0.0129942,2.13795
4,115699,120000,2.38354,0.0278811,2.35566
8,115699,120000,3.58876,0.138231,3.45053
12,115699,120000,4.09136,0.101154,3.99021
2,1001008,10200,1.99441,0.00262881,1.99178
4,1001008,10200,1.46155,0.00452301,1.45703
8,1001008,10200,1.14258,0.0105209,1.13206
12,1001008,10200,1.27248,0.025653,1.24683
